case_id,activity,timestamp,part_desc
Case 1,Turning & Milling - Machine 4,2012-01-30 05:43:00,Cable Head
Case 1,Turning & Milling - Machine 4,2012-01-30 06:42:00,Cable Head
Case 1,Turning & Milling - Machine 4,2012-01-30 07:21:00,Cable Head
Case 1,Turning & Milling - Machine 4,2012-01-30 10:58:00,Cable Head
Case 1,Turning & Milling Q.C.,2012-01-31 14:50:00,Cable Head
Case 1,Laser Marking - Machine 7,2012-02-01 08:27:00,Cable Head
Case 1,Lapping - Machine 1,2012-02-14 01:15:00,Cable Head
Case 1,Lapping - Machine 1,2012-02-14 01:15:00,Cable Head
Case 1,Lapping - Machine 1,2012-02-14 10:20:00,Cable Head
Case 1,Lapping - Machine 1,2012-02-14 09:38:00,Cable Head
Case 1,Round Grinding - Machine 3,2012-02-14 13:37:00,Cable Head
Case 1,Round Grinding - Machine 3,2012-02-14 15:27:00,Cable Head
Case 1,Final Inspection Q.C.,2012-02-16 07:59:00,Cable Head
Case 1,Final Inspection Q.C.,2012-02-16 16:12:00,Cable Head
Case 1,Final Inspection Q.C.,2012-02-16 13:58:00,Cable Head
Case 1,Packing,2012-02-17 01:00:00,Cable Head
Case 10,Turning & Milling - Machine 9,2012-01-17 11:05:00,Spur Gear
Case 10,Turning Q.C.,2012-01-17 11:15:00,Spur Gear
Case 10,Turning & Milling - Machine 9,2012-01-17 20:01:00,Spur Gear
Case 10,Turning & Milling - Machine 9,2012-01-17 23:43:00,Spur Gear
Case 10,Turning & Milling - Machine 9,2012-01-18 06:32:00,Spur Gear
Case 10,Turning & Milling - Machine 9,2012-01-18 07:24:00,Spur Gear
Case 10,Turning & Milling - Machine 9,2012-01-18 17:55:00,Spur Gear
Case 10,Turning & Milling - Machine 9,2012-01-18 20:04:00,Spur Gear
Case 10,Turning & Milling - Machine 9,2012-01-19 06:29:00,Spur Gear
Case 10,Turning & Milling - Machine 9,2012-01-19 18:09:00,Spur Gear
Case 10,Turning & Milling - Machine 9,2012-01-19 20:08:00,Spur Gear
Case 10,Turning & Milling - Machine 9,2012-01-20 05:10:00,Spur Gear
Case 10,Turning & Milling - Machine 9,2012-01-22 06:34:00,Spur Gear
Case 10,Turning & Milling - Machine 9,2012-01-22 07:13:00,Spur Gear
Case 10,Turning & Milling - Machine 9,2012-01-22 17:47:00,Spur Gear
Case 10,Turning Q.C.,2012-01-23 10:26:00,Spur Gear
Case 10,Laser Marking - Machine 7,2012-01-25 10:57:00,Spur Gear
Case 10,Laser Marking - Machine 7,2012-01-25 12:54:00,Spur Gear
Case 10,Laser Marking - Machine 7,2012-01-25 14:09:00,Spur Gear
Case 10,Flat Grinding - Machine 11,2012-01-27 13:00:00,Spur Gear
Case 10,Flat Grinding - Machine 11,2012-01-29 15:06:00,Spur Gear
Case 10,Flat Grinding - Machine 11,2012-01-30 16:59:00,Spur Gear
Case 10,Final Inspection Q.C.,2012-02-02 14:16:00,Spur Gear
Case 10,Packing,2012-02-03 01:00:00,Spur Gear
Case 100,Turning & Milling - Machine 8,2012-02-20 17:57:00,Ballnut
Case 100,Turning & Milling - Machine 8,2012-02-21 02:57:00,Ballnut
Case 100,Turning & Milling - Machine 8,2012-02-21 11:03:00,Ballnut
Case 100,Turning & Milling - Machine 8,2012-02-21 12:08:00,Ballnut
Case 100,Turning & Milling Q.C.,2012-02-22 15:10:00,Ballnut
Case 100,Laser Marking - Machine 7,2012-03-11 11:06:00,Ballnut
Case 100,Flat Grinding - Machine 11,2012-03-11 12:45:00,Ballnut
Case 100,Lapping - Machine 1,2012-03-11 13:18:00,Ballnut
Case 100,Round Grinding - Machine 3,2012-03-13 10:41:00,Ballnut
Case 100,Round Grinding - Machine 3,2012-03-13 15:12:00,Ballnut
Case 100,Grinding Rework - Machine 12,2012-03-16 12:40:00,Ballnut
Case 100,Final Inspection Q.C.,2012-03-19 14:06:00,Ballnut
Case 100,Packing,2012-03-21 01:00:00,Ballnut
Case 100,Final Inspection Q.C.,2012-03-21 07:03:00,Ballnut
Case 101,Setup - Machine 8,2012-03-13 20:03:00,Housing
Case 101,Turning & Milling - Machine 8,2012-03-13 23:03:00,Housing
Case 101,Turning & Milling - Machine 8,2012-03-13 23:49:00,Housing
Case 101,Turning & Milling - Machine 8,2012-03-14 01:06:00,Housing
Case 101,Turning & Milling - Machine 8,2012-03-14 06:28:00,Housing
Case 101,Turning & Milling - Machine 8,2012-03-14 07:48:00,Housing
Case 101,Turning & Milling - Machine 8,2012-03-14 11:10:00,Housing
Case 101,Turning & Milling - Machine 8,2012-03-14 13:30:00,Housing
Case 101,Turning & Milling Q.C.,2012-03-14 14:48:00,Housing
Case 101,Flat Grinding - Machine 11,2012-03-15 10:55:00,Housing
Case 101,Lapping - Machine 1,2012-03-23 12:40:00,Housing
Case 101,Round Grinding - Machine 12,2012-03-24 23:45:00,Housing
Case 101,Round Grinding - Machine 12,2012-03-25 06:45:00,Housing
Case 101,Final Inspection Q.C.,2012-03-25 11:31:00,Housing
Case 101,Lapping - Machine 1,2012-03-25 11:00:00,Housing
Case 101,Laser Marking - Machine 7,2012-03-25 11:29:00,Housing
Case 101,Packing,2012-03-26 01:00:00,Housing
Case 102,Turning & Milling - Machine 8,2012-02-27 21:09:00,Spur Gear
Case 102,Turning & Milling - Machine 8,2012-02-28 01:23:00,Spur Gear
Case 102,Turning & Milling - Machine 8,2012-02-28 13:26:00,Spur Gear
Case 102,Turning & Milling - Machine 8,2012-02-28 16:12:00,Spur Gear
Case 102,Turning & Milling Q.C.,2012-02-28 15:25:00,Spur Gear
Case 102,Turning & Milling - Machine 8,2012-02-28 17:56:00,Spur Gear
Case 102,Turning & Milling - Machine 8,2012-02-29 01:29:00,Spur Gear
Case 102,Turning & Milling - Machine 8,2012-02-29 04:31:00,Spur Gear
Case 102,Turning & Milling - Machine 8,2012-02-29 11:05:00,Spur Gear
Case 102,Turning & Milling - Machine 8,2012-02-29 16:00:00,Spur Gear
Case 102,Turning & Milling Q.C.,2012-02-29 16:00:00,Spur Gear
Case 102,Turning & Milling - Machine 8,2012-02-29 17:20:00,Spur Gear
Case 102,Turning & Milling Q.C.,2012-02-29 16:36:00,Spur Gear
Case 102,Turning & Milling - Machine 8,2012-02-29 17:48:00,Spur Gear
Case 102,Turning & Milling - Machine 8,2012-03-01 00:11:00,Spur Gear
Case 102,Turning & Milling Q.C.,2012-03-01 10:49:00,Spur Gear
Case 102,Turning & Milling Q.C.,2012-03-06 01:15:00,Spur Gear
Case 102,Laser Marking - Machine 7,2012-03-08 14:41:00,Spur Gear
Case 102,Lapping - Machine 1,2012-03-09 01:15:00,Spur Gear
Case 102,Lapping - Machine 1,2012-03-11 11:04:00,Spur Gear
Case 102,Round Grinding - Manual,2012-03-11 20:00:00,Spur Gear
Case 102,Round Grinding - Manual,2012-03-11 23:40:00,Spur Gear
Case 102,Round Grinding - Machine 3,2012-03-12 08:09:00,Spur Gear
Case 102,Round Grinding - Q.C.,2012-03-12 08:09:00,Spur Gear
